,gene,p,difference,q,subclass
16489,PSRC1,2.29039751870459e-33,-1.12174828850523,6.6032524019415e-31,2
16518,PTHLH,4.41310700820858e-21,-1.90845938416637,2.14714154237385e-19,2
16527,PTPN13,6.55763513404298e-21,1.83481502881668,3.09367082960059e-19,2
16552,PTPRU,4.1275108077844e-17,1.00905936145034,1.16049502789146e-15,2
16564,PUS10,3.32517656872e-16,0.528831950836712,8.18362899968311e-15,2
16565,PUS1,1.46920721522694e-18,-0.662667769710971,4.97858407652368e-17,2
16581,PXMP4,3.32699219458909e-22,1.14621774964063,1.814659436346e-20,2
16602,R3HDM1,8.74126001700969e-17,-0.44066180075777,2.35211119539181e-15,2
16603,RAB10,8.90036246980821e-17,-0.408240567573905,2.38784761505357e-15,2
16618,RAB27A,1.58595149924745e-16,0.698200316800179,4.10336710553154e-15,2
16655,RACGAP1,5.26155632802431e-34,-1.12988255879987,1.83780091511357e-31,2
16661,RAD51AP1,6.89799568600952e-35,-1.49976729191551,2.98305465821407e-32,2
16663,RAD51,3.51046648148088e-29,-1.40060618350017,4.79403027843137e-27,2
16665,RAD54B,8.57747141789053e-30,-1.19656271544816,1.29827177802621e-27,2
16666,RAD54L,1.87901656728848e-28,-1.76527254019221,2.26017072262653e-26,2
16689,RANBP1,6.03751241438276e-28,-0.608529767640077,6.76909493718729e-26,2
16693,RAN,7.83432446318471e-22,-0.648754331857749,4.13647776816349e-20,2
16696,RAP1GAP,2.20294666146751e-22,1.55488932097127,1.22361223890625e-20,2
16703,RAPGEF5,1.90519581595847e-16,0.698176617479811,4.8533059754914e-15,2
16720,RASGRF1,1.86968372313312e-18,2.16175830943855,6.24247526898288e-17,2
16741,RBL2,6.91747815601902e-18,0.529068897159744,2.16624406461678e-16,2
16746,RBM17,6.2473443093177e-17,-0.355006020678314,1.71852400049775e-15,2
16752,RBM28,1.91381134834402e-22,-0.604525491034941,1.06955555446069e-20,2
16769,RBPMS,1.30716271887783e-20,0.91274050061563,5.95037505337795e-19,2
16782,RCOR2,2.39900194580368e-20,-1.86172083996179,1.03993012748526e-18,2
16791,RDM1,2.31255583679166e-17,-1.54119003970822,6.68836809930683e-16,2
16794,RECQL4,7.02332809934186e-27,-1.45376090203169,7.12652001499141e-25,2
16813,REPS2,9.34227055518049e-21,1.03019052761948,4.32866479830978e-19,2
16824,RFC2,2.57373379479245e-23,-0.588768283158455,1.59002472499372e-21,2
16825,RFC3,5.06669118816218e-16,-0.664475003203655,1.20928136728764e-14,2
16826,RFC4,6.60802490308455e-38,-1.03884001068848,8.00143708764831e-35,2
16827,RFC5,3.27688766732911e-25,-0.694825883835377,2.5435090043461e-23,2
16834,RFTN1,4.79117225525489e-20,0.991656952438248,2.00511662839158e-18,2
16878,RHOBTB2,1.65010450492565e-24,1.38428026085484,1.19883392491858e-22,2
16891,RICH2,7.55632409478058e-27,1.28956619556797,7.58262511234805e-25,2
16895,RILPL2,1.91829720595991e-16,0.557664749191268,4.87983643583331e-15,2
16908,RIPK2,3.38659063314856e-16,-0.603103337538093,8.31224941484828e-15,2
16914,RNASE1,1.30492114933809e-19,1.46137602458561,5.17495258415453e-18,2
16921,RNASEH2A,6.50008395879854e-20,-0.739827392595847,2.69545719049447e-18,2
16964,RNF34,2.02605389806436e-20,-0.430984853220501,8.95358076655547e-19,2
16979,ROBO2,2.07047097175084e-31,2.26366172527566,4.27340502953529e-29,2
16991,ROS1,1.28119835290434e-31,2.31345215773039,2.70586112602343e-29,2
17025,RPL39L,5.48599248012585e-19,-1.21710106932023,1.99284162833052e-17,2
17053,RPS6KA1,5.43138325298363e-17,0.50320190152528,1.5061101377701e-15,2
17054,RPS6KA2,2.66039844260369e-19,0.852078361779851,1.00459078821228e-17,2
17073,RRM2B,2.8273597996944e-16,0.655808989462578,7.04435336650883e-15,2
17074,RRM2,9.04704233107252e-31,-1.67528659842152,1.6432142985927e-28,2
17084,RS1,6.77477250786814e-16,1.61689813592521,1.58365756834503e-14,2
17091,RSPO2,4.60183120563283e-32,2.6072264320835,1.05801342010012e-29,2
17101,RTN4RL1,1.35710442824935e-20,1.92850070603294,6.11639894051934e-19,2
17114,RUVBL1,2.26636424717961e-21,-0.577849485735197,1.14662879725692e-19,2
17121,RXRG,7.25886022121551e-18,2.30901170256033,2.26923714626398e-16,2
17176,SASS6,2.01859660732609e-21,-0.779013199317134,1.02501395047645e-19,2
17184,SC65,2.49229509654268e-18,-0.866048985311094,8.23046469790994e-17,2
17209,SCGB3A1,1.31962052235144e-16,3.19505682380639,3.44867158956391e-15,2
17210,SCGB3A2,1.09769662191364e-21,3.44573722839292,5.68018910080269e-20,2
17219,SCN1A,1.44455447775167e-16,1.90960677010003,3.76433902143523e-15,2
17220,SCN2B,7.32275320677874e-16,1.25856589900411,1.70735772136999e-14,2
17223,SCN4B,2.96858554085034e-32,1.73378597861712,7.00239210109932e-30,2
17224,SCN7A,2.07691440320498e-22,1.96461515153538,1.15714712593289e-20,2
17227,SCNN1B,1.37202568216521e-19,1.51794885500562,5.42921622334787e-18,2
17235,SCTR,1.15436570472672e-29,3.00756261966855,1.73278878470673e-27,2
17253,SDPR,1.22759904031312e-20,1.38680448978381,5.61634291415798e-19,2
17280,SELENBP1,5.5132860940299e-34,1.71593869805931,1.88939274199745e-31,2
17307,SEPP1,2.64850773272179e-20,1.1064373924162,1.13992525946507e-18,2
17312,SEPT4,4.06984817384566e-17,0.798744941852572,1.14605662607068e-15,2
17377,SFRS9,3.50995151322487e-23,-0.443621776570353,2.11798170547187e-21,2
17378,SFTA1P,6.92812960079378e-33,2.78602593783042,1.79765168484596e-30,2
17379,SFTA2,2.04684119439245e-20,1.52406915098974,9.02348946935681e-19,2
17380,SFTA3,3.22023442698463e-27,1.90073779759492,3.36144355731735e-25,2
17381,SFTPA1,5.30889635737495e-26,3.36337394922518,4.72673943818633e-24,2
17382,SFTPA2,2.76891045732195e-24,3.26366830812821,1.93429694755148e-22,2
17383,SFTPB,1.9560228177372e-26,2.59797906468729,1.83130115662684e-24,2
17384,SFTPC,3.22071724234786e-20,4.14338882671961,1.37318984208367e-18,2
17385,SFTPD,2.14809670161843e-29,2.78478962192658,3.01545351615144e-27,2
17391,SGCA,2.99275051235337e-16,1.44596744865874,7.41573363654492e-15,2
17399,SGOL1,2.26321686805625e-31,-1.76084090427194,4.56742310827841e-29,2
17400,SGOL2,4.48899818704171e-29,-1.09999623016929,6.08460254262975e-27,2
17438,SHCBP1,1.03582021856428e-25,-1.31613294961204,8.80094020134744e-24,2
17439,SHE,3.41551008527385e-28,1.76215566680885,3.951331826677e-26,2
17442,SHH,3.63694935746239e-18,1.6798528065585,1.17960555677838e-16,2
17458,SHROOM4,3.63862955493694e-33,1.44086651575471,9.86394456810741e-31,2
17469,SIGLECP3,1.47608790102796e-23,1.65590164086849,9.40708229697222e-22,2
17489,SKA1,1.19663385832802e-32,-1.79747318275936,2.97732339298792e-30,2
17491,SKA3,5.60634293412822e-30,-1.70996534205925,8.77827644073887e-28,2
17497,SKP2,2.46389703436255e-19,-0.833291141610228,9.36229327094707e-18,2
17514,SLC15A2,3.13572629626593e-19,1.30151469430639,1.17673960163384e-17,2
17526,SLC18A2,6.14447830275149e-17,1.73968888384703,1.69350773008915e-15,2
17540,SLC22A3,2.23738214028635e-31,2.0782842813573,4.56601930494618e-29,2
17559,SLC25A23,4.9462418425842e-18,0.548506560942158,1.57335535178383e-16,2
17563,SLC25A30,1.54078572565384e-19,0.537103567850469,6.03131274462299e-18,2
17573,SLC25A4,1.01672120235786e-17,0.634762142445796,3.093250787006e-16,2
17579,SLC26A9,2.6655375974002e-23,2.54860578903097,1.63561349262094e-21,2
17580,SLC27A1,1.31194653998472e-16,0.705562468138355,3.43355691725396e-15,2
17590,SLC2A1,6.2420890081071e-30,-1.6787800575481,9.52731618943271e-28,2
17599,SLC34A2,3.24013435780705e-24,1.75207557123535,2.22918789169884e-22,2
17633,SLC39A8,3.82081889622698e-21,1.14057123311859,1.87560901654515e-19,2
17636,SLC41A1,1.4887544124339e-26,0.877599712898302,1.40834616630401e-24,2
17646,SLC46A2,1.30047129770695e-18,2.0434547994304,4.43160603757061e-17,2
17670,SLC6A15,1.01236493857771e-17,-2.48837838529396,3.08516516432667e-16,2
17676,SLC6A8,8.80179370233796e-17,-1.19839401108459,2.3648961392835e-15,2
17687,SLC8A3,1.87702050455416e-24,1.50215637542454,1.32140788465958e-22,2
17706,SLFNL1,2.5602458677586e-22,1.7238242619835,1.40914380897271e-20,2
17758,SMUG1,2.76754936838469e-16,-0.523476189466983,6.92382908787481e-15,2
17791,SNRPA1,3.32740353936164e-33,-0.678070339888912,9.15691370991295e-31,2
17794,SNRPB,8.88443245606175e-16,-0.538765021890258,2.03490475030832e-14,2
17796,SNRPD1,2.20721147373234e-19,-0.580822052040389,8.43991199945274e-18,2
17800,SNRPF,1.52666047151716e-25,-0.675669269464377,1.24904207856604e-23,2
17814,SNX1,2.79155500717055e-18,0.4268901882433,9.15216851899615e-17,2
17818,SNX25,7.95006278990488e-25,1.14746159765802,6.06710043920346e-23,2
17821,SNX30,2.99737327278874e-30,1.41773935449894,4.9492082503329e-28,2
17869,SPAG5,4.86973185190332e-35,-1.53113184184065,2.15729121039317e-32,2
17885,SPC24,4.55575689986455e-20,-1.49832849674357,1.91542158732037e-18,2
17886,SPC25,3.78278369202279e-27,-1.52115495385215,3.92609715418343e-25,2
17897,SPHK1,5.69299493075052e-21,-1.39368709669793,2.73549912505878e-19,2
17923,SPRY2,1.86225576587087e-20,0.726412600897127,8.2902332047825e-19,2
17925,SPRY4,2.53689172059376e-17,0.87257429598225,7.27923606969107e-16,2
17934,SPTLC3,1.15203301869577e-23,1.48292261301887,7.47299132806117e-22,2
17964,SSB,7.71959753677632e-17,-0.337913004763266,2.08958345842725e-15,2
17975,SSX2IP,2.4263928023808e-17,-0.700803640727955,6.99532896343531e-16,2
17982,ST3GAL5,2.57977637488473e-22,1.18078067942829,1.41560357392844e-20,2
18021,STIL,5.59553368673498e-26,-1.12133765172481,4.95764284644719e-24,2
18023,STIP1,2.25558195711022e-16,-0.434028972598375,5.71382637196554e-15,2
18036,STMN1,8.21838136064212e-16,-0.861665163339893,1.89911527548782e-14,2
18046,STRAP,8.37316362405004e-18,-0.516026383929404,2.58203346186114e-16,2
18063,STXBP1,1.05641704378655e-19,1.03895865649371,4.23739228179647e-18,2
18099,SUSD2,6.50879983095017e-37,2.8592824727754,5.37360596952491e-34,2
18102,SUV39H1,1.273849610591e-24,-0.618454069510522,9.5607150732084e-23,2
18103,SUV39H2,3.89210758691574e-24,-0.727405260120647,2.64283349085439e-22,2
18123,SYNE1,2.84497605560262e-20,1.0001858852342,1.22159101886313e-18,2
18138,SYT15,9.00121106442493e-20,1.63282420547958,3.65747195890716e-18,2
